Temp. Food,Zeit/Min.,Wasser,,,,,
96,0,Liter,,,,,
,1,16,,,,,
,2,32,,,,,
,3,48,,,,,
,4,64,,,,,
,5,80,,,,,
,6,96,,,,,
,7,112,,,,,
,8,128,,,,,
,9,144,,,,,
,10,160,,,,,
,11,176,,,,,
,12,192,,,,,
,13,208,,,,,
77,14,224,,,,,
,15,240,,,,,
,16,256,,,,,
70,17,272,,,,,
,18,288,,,,,
,19,304,,,,,
64,20,320,,,,,
,21,336,,,,,
,22,352,,,,,
60,23,368,,,,,
,24,384,,,,,
,25,400,,,,,
55,26,416,,,,,
,27,432,,,,,
,28,448,,,,,
,29,464,,,,,
50,30,480,,,,,
,31,496,,,,,
,32,512,,,,,
,33,528,,,,,
,34,544,,,,,
,35,560,,,,,
,36,576,,,,,
45,37,592,,,,,
